Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2022,Finland,Ukraine,FIN,UKR,44953,553,0,0,0,0,0
2022,France,Ukraine,FRA,UKR,69302,1270,0,0,0,0,0
2022,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,182423,976,0,0,0,0,0
2022,Georgia,Ukraine,GEO,UKR,26446,52,0,0,0,0,0
2022,Germany,Ukraine,DEU,UKR,1002999,1383,0,0,0,0,0
2022,Ghana,Ukraine,GHA,UKR,0,5,0,0,0,0,0
2022,Greece,Ukraine,GRC,UKR,21827,104,0,0,0,0,0
2022,Guatemala,Ukraine,GTM,UKR,0,5,0,0,0,0,0
2022,Croatia,Ukraine,HRV,UKR,19416,0,0,0,0,0,0
2022,Hungary,Ukraine,HUN,UKR,29632,5,0,0,0,0,0
2022,Iceland,Ukraine,ISL,UKR,2335,0,0,0,0,0,0
2022,India,Ukraine,IND,UKR,0,58,0,0,0,0,0
2022,Ireland,Ukraine,IRL,UKR,70578,238,0,0,0,0,0
2022,Iraq,Ukraine,IRQ,UKR,0,5,0,0,0,0,0
2022,Israel,Ukraine,ISR,UKR,30,384,0,0,0,0,30000
2022,Italy,Ukraine,ITA,UKR,149872,1878,0,0,0,0,0
2022,Jordan,Ukraine,JOR,UKR,0,10,0,0,0,0,0
2022,Japan,Ukraine,JPN,UKR,2013,0,0,0,0,0,0
2022,Kazakhstan,Ukraine,KAZ,UKR,0,550,0,0,0,0,0
2022,Kyrgyzstan,Ukraine,KGZ,UKR,14,10,0,0,0,0,0
2022,"Rep. of Korea",Ukraine,KOR,UKR,17,22,0,0,0,0,0
2022,Lebanon,Ukraine,LBN,UKR,0,16,0,0,0,0,8
2022,Liechtenstein,Ukraine,LIE,UKR,402,0,0,0,0,0,0
2022,Lithuania,Ukraine,LTU,UKR,65175,0,0,0,0,0,0
2022,Luxembourg,Ukraine,LUX,UKR,4500,25,0,0,0,0,0
2022,Latvia,Ukraine,LVA,UKR,37800,10,0,0,0,0,0
2022,"North Macedonia",Ukraine,MKD,UKR,6816,0,0,0,0,0,0
2022,"Rep. of Moldova",Ukraine,MDA,UKR,98910,3194,0,0,0,0,0
2022,Mexico,Ukraine,MEX,UKR,31,149,0,0,0,0,17779
2022,Montenegro,Ukraine,MNE,UKR,32346,5,0,0,0,0,0
2022,Malta,Ukraine,MLT,UKR,1765,54,0,0,0,0,0
2022,Nepal,Ukraine,NPL,UKR,0,5,0,0,0,0,0
2022,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,102643,1059,0,0,0,0,0
2022,Nigeria,Ukraine,NGA,UKR,0,5,0,0,0,0,0
2022,Norway,Ukraine,NOR,UKR,33243,10,0,0,0,0,0
2022,"New Zealand",Ukraine,NZL,UKR,5,17,0,0,0,0,0
2022,Panama,Ukraine,PAN,UKR,11,10,0,0,0,0,0
2022,Paraguay,Ukraine,PRY,UKR,9,0,0,0,0,0,0
2022,Peru,Ukraine,PER,UKR,29,7,0,0,0,0,0
2022,Philippines,Ukraine,PHL,UKR,0,14,0,0,0,0,0
2022,Poland,Ukraine,POL,UKR,958147,372,0,0,0,0,0
2022,Portugal,Ukraine,PRT,UKR,44960,29,0,0,0,0,0
2022,Romania,Ukraine,ROU,UKR,100086,42,0,0,0,0,0
2022,"Russian Federation",Ukraine,RUS,UKR,1275315,610,0,0,0,0,0
2022,Spain,Ukraine,ESP,UKR,159194,1515,0,0,0,0,0
2022,"Serbia and Kosovo: S/RES/1244 (1999)",Ukraine,SRB,UKR,1108,0,0,0,0,0,0
2022,Slovakia,Ukraine,SVK,UKR,94858,0,0,0,0,0,0
2022,Slovenia,Ukraine,SVN,UKR,7748,16,0,0,0,0,0
2022,Sweden,Ukraine,SWE,UKR,46857,989,0,0,0,0,0
2022,Switzerland,Ukraine,CHE,UKR,60162,109,0,0,0,0,0
2022,Tunisia,Ukraine,TUN,UKR,0,29,0,0,0,0,0
2022,Türkiye,Ukraine,TUR,UKR,2768,2189,0,0,0,0,0
2022,Ukraine,Ukraine,UKR,UKR,0,0,5914000,0,0,0,497343
2022,Uruguay,Ukraine,URY,UKR,18,0,0,0,0,0,0
2022,"United States of America",Ukraine,USA,UKR,3063,12369,0,0,0,0,0
